service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1_89928,1,1,1,1,1,0,0,20260713,20991231
1_89929,1,1,1,1,1,0,0,20260713,20991231
1_89930,1,1,1,1,1,0,0,20260713,20991231
1_89931,1,1,1,1,1,0,0,20260713,20991231
1_89956,1,1,1,1,1,0,0,20260715,20991231
1_89957,1,1,1,1,1,0,0,20260715,20991231
1_89958,1,1,1,1,1,0,0,20260715,20991231
1_89959,1,1,1,1,1,0,0,20260715,20991231
1_89960,1,1,1,1,1,0,0,20260715,20991231
1_89961,1,1,1,1,1,0,0,20260715,20991231
1_89962,1,1,1,1,1,0,0,20260715,20991231
1_89963,1,1,1,1,1,0,0,20260715,20991231
1_89964,1,1,1,1,1,0,0,20260715,20991231
1_89965,1,1,1,1,1,0,0,20260715,20991231
1_89966,1,1,1,1,1,0,0,20260715,20991231
1_89967,1,1,1,1,1,0,0,20260715,20991231
1_89968,1,1,1,1,1,0,0,20260715,20991231
1_89969,1,1,1,1,1,0,0,20260715,20991231
1_89970,1,1,1,1,1,0,0,20260715,20991231
1_89971,1,1,1,1,1,0,0,20260715,20991231
2_122887,1,1,1,1,1,0,0,20260101,20991231
2_122888,1,1,1,1,1,0,0,20260101,20991231
2_122889,1,1,1,1,1,0,0,20260101,20991231
2_122890,1,1,1,1,1,0,0,20260101,20991231
2_122912,0,0,0,0,0,1,1,20260101,20991231
2_122913,0,0,0,0,0,1,1,20260101,20991231
2_122914,0,0,0,0,0,1,1,20260101,20991231
2_122923,0,0,0,0,0,1,1,20260101,20991231
2_122924,0,0,0,0,0,1,1,20260101,20991231
2_122925,0,0,0,0,0,1,1,20260101,20991231
2_122926,0,0,0,0,0,1,1,20260101,20991231
2_122927,0,0,0,0,0,1,1,20260101,20991231
2_122928,0,0,0,0,0,1,1,20260101,20991231
2_122929,0,0,0,0,0,1,1,20260101,20991231
2_122938,0,0,0,0,0,1,1,20260101,20991231
2_122939,0,0,0,0,0,1,1,20260101,20991231
2_122940,0,0,0,0,0,1,1,20260101,20991231
2_122941,0,0,0,0,0,1,1,20260101,20991231
2_122942,0,0,0,0,0,1,1,20260101,20991231
2_122943,0,0,0,0,0,1,1,20260101,20991231
2_122944,1,1,1,1,1,0,0,20260101,20991231
