uid,agencyId,shortName,fullName,description,type,homepage,colour,textColour,sortOrder
542,30977976,542,Маршрутне таксі 542,станція метро «Осокорки» – вул. Митрополита Андрея Шептицького. Тривалість маршруту 35 хв. Частота відправлення 18-36 хв.,3,null,null,null,86
544,30056005,544,Маршрутне таксі 544,вул. Космонавта Поповича – вул. Малишка. Тривалість маршруту 30 хв. Частота відправлення 12-24 хв.,3,null,null,null,87
545,32159460,545,Маршрутне таксі 545,вул. Є. Чавдар – станція метро «Дарниця». Тривалість маршруту 45 хв. Частота відправлення 5-10 хв.,3,null,null,null,88
550,30056005,550,Маршрутне таксі 550,просп. Червоної Калини – вул. Кадетський Гай. Тривалість маршруту 60 хв. Частота відправлення 12-24 хв.,3,null,null,null,89
555,30977976,555,Маршрутне таксі 555,ж/м ДВРЗ – вул. Кибальчича. Тривалість маршруту 45 хв. Частота відправлення 9-18 хв.,3,null,null,null,90
556,43700504,556,Маршрутне таксі 556,Вулиця Метрологічна – Кільцева дорога (до вулиці Зодчих). Тривалість маршруту 80 хв. Частота відправлення 20 хв.,3,null,null,null,91
557,32527677,557,Маршрутне таксі 557,станція метро «Либідська» – ж/м Корчувате. Тривалість маршруту 30 хв. Частота відправлення 12-24 хв.,3,null,null,null,92
566,33305729,566,Маршрутне таксі 566,станція метро «Лук'янівська» – просп. Відрадний. Тривалість маршруту 35 хв. Частота відправлення 17-34 хв.,3,null,null,null,93
567,30977976,567,Маршрутне таксі 567,станція метро «Видубичі» – авторинок «Центральний». Тривалість маршруту 25 хв. Частота відправлення 10-20 хв.,3,null,null,null,94
569,30977976,569,Маршрутне таксі 569,станція метро «Лук'янівська» – з/ст. «Київ-Волинський». Тривалість маршруту 40 хв. Частота відправлення 13-26 хв.,3,null,null,null,95
575,24102067,575,Маршрутне таксі 575,вул. Терещенківська – вул. Сергія Данченка. Тривалість маршруту 50 хв. Частота відправлення 10-20 хв.,3,null,null,null,96
577,30977976,577,Маршрутне таксі 577,станція метро «Позняки» – вул. Урлівська. Тривалість маршруту 14 хв. Частота відправлення 8-16 хв.,3,null,null,null,97
578,30977976,578,Маршрутне таксі 578,станція метро «Лівобережна» – вул. Вершигори. Тривалість маршруту 30 хв. Частота відправлення 12-24 хв.,3,null,null,null,98
580,30056005,580,Маршрутне таксі 580,станція метро «Лівобережна» – вул. Милославська. Тривалість маршруту 40 хв. Частота відправлення 7-14 хв.,3,null,null,null,99
586,30977976,586,Маршрутне таксі 586,площа Т. Шевченка – станція метро «Лук'янівська». Тривалість маршруту 30 хв. Частота відправлення 15-30 хв.,3,null,null,null,100
590,30056005,590,Маршрутне таксі 590,станція метро «Либідська» – вул. Лісківська. Тривалість маршруту 60 хв. Частота відправлення 12-24 хв.,3,null,null,null,101
598Д,32527677,598Д,Маршрутне таксі 598Д,вул. Милославська – зал. вокзал «Центральний». Тривалість маршруту 70 хв. Частота відправлення 18-36 хв.,3,null,null,null,102
